name,full_name,birth_date,age,height,weight,rating,value,heading_accuracy,short_passing,long_passing,acceleration,penalties
S. Mandanda,Steve Mandanda,3/28/1985,33,185.42,82.1,82,11000000,13,37,28,53,11
L. Koscielny,Laurent Koscielny,9/10/1985,33,185.42,74.8,82,12500000,80,76,69,64,51
E. Viviano,Emiliano Viviano,12/1/1985,33,195.58,89.8,82,12500000,13,36,37,30,21
Jardel,Jardel Nivaldo Vieira,3/29/1986,32,193.04,87.1,82,12500000,85,68,53,50,57
E. Garay,Ezequiel Marcelo Garay,10/10/1986,32,187.96,89.8,82,15000000,80,69,72,34,69
A. Guardado,José Andrés Guardado Hernández,9/28/1986,32,170.18,67.1,82,19000000,55,85,84,75,70
Adán,Antonio Adán Garrido,5/13/1987,31,190.5,92.1,82,13500000,23,34,43,56,25
Juan Mata,Juan Manuel Mata García,4/28/1988,30,170.18,60.8,82,21000000,56,85,79,69,80
O. Giroud,Olivier Giroud,9/30/1986,32,193.04,92.1,82,20000000,90,79,58,43,83
R. Fährmann,Ralf Fährmann,9/27/1988,30,198.12,98,82,17000000,15,25,26,38,21
F. Fazio,Federico Julián Fazio,3/17/1987,31,195.58,84.8,82,15000000,89,64,62,36,26
V. Ćorluka,Vedran Ćorluka,2/5/1986,33,193.04,83.9,82,12500000,83,70,72,49,49
Pedro,Pedro Eliezer Rodríguez Ledesma,7/28/1987,31,170.18,64.9,82,21000000,55,80,71,79,66
K. Strootman,Kevin Strootman,2/13/1990,29,185.42,79.8,82,18000000,68,86,83,65,77
K. Glik,Kamil Glik,2/3/1988,31,190.5,79.8,82,16500000,85,63,59,50,39
S. Mustafi,Shkodran Mustafi,4/17/1992,26,182.88,82.1,82,22500000,81,77,69,60,54
D. Subašić,Danijel Subašić,10/27/1984,34,190.5,83.9,82,11000000,13,24,26,51,23
H. Mkhitaryan,Henrikh Mkhitaryan,1/21/1989,30,152.4,74.8,82,21500000,53,80,71,84,72
T. Delaney,Thomas Delaney,9/3/1991,27,182.88,78.9,82,21500000,83,79,78,76,60
